Month: 6, Year: 2023

Description: GPU Sale to IBM, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 15000.0
Description: Consulting Services for Google, Classification: revenue, Justification: Consulting services provided to a client is a revenue item, Total Amount: 5000.0
Description: GPU Sale to Meta, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 20000.0
Description: Consulting Services for Nvidia, Classification: revenue, Justification: Consulting services provided to a client is a revenue item, Total Amount: 7500.0
Description: GPU Sale to Startup Company, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 10000.0
Description: Client Project Milestone Payment, Classification: revenue, Justification: Payment from a client project is a revenue item, Total Amount: 12000.0
Description: Consulting Services for IBM, Classification: revenue, Justification: Consulting services provided to a client is a revenue item, Total Amount: 6000.0
Description: GPU Sale to Research Institution, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 18000.0
Description: Client Project Advance Payment, Classification: revenue, Justification: Advance payment from a client project is a revenue item, Total Amount: 8000.0
Description: Consulting Services for Startup, Classification: revenue, Justification: Consulting services provided to a client is a revenue item, Total Amount: 4000.0
Description: GPU Sale to Google, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 22000.0
Description: Software License Sale, Classification: revenue, Justification: Sale of software license is a revenue item, Total Amount: 3000.0
Description: Consulting Services for Meta, Classification: revenue, Justification: Consulting services provided to a client is a revenue item, Total Amount: 9000.0
Description: GPU Sale to AI Startup, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 13000.0
Description: Client Project Final Payment, Classification: revenue, Justification: Final payment from a client project is a revenue item, Total Amount: 15000.0
Description: Consulting Services for Tech Firm, Classification: revenue, Justification: Consulting services provided to a client is a revenue item, Total Amount: 7000.0
Description: GPU Sale to University, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 16000.0
Description: Licensing Fee Income, Classification: revenue, Justification: Licensing fee income is a revenue item, Total Amount: 5000.0
Description: Consulting Services for Robotics Company, Classification: revenue, Justification: Consulting services provided to a client is a revenue item, Total Amount: 8500.0
Description: GPU Sale to Financial Institution, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 19000.0
Description: Consulting Services for Healthcare AI, Classification: revenue, Justification: Consulting services provided to a client is a revenue item, Total Amount: 10000.0
Description: GPU Sale to E-commerce Giant, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 25000.0
Description: AI Model Licensing Fee Income, Classification: revenue, Justification: Licensing fee income is a revenue item, Total Amount: 7000.0
Description: Consulting Services for Autonomous Vehicle Company, Classification: revenue, Justification: Consulting services provided to a client is a revenue item, Total Amount: 12000.0
Description: GPU Sale to Social Media Company, Classification: revenue, Justification: Sale of GPU to a client is a revenue item, Total Amount: 21000.0
